time,day,road_id,vehicles
09:00,Monday,R101,1200
09:15,Monday,R101,1500
09:30,Monday,R101,1750
09:45,Monday,R101,1900
10:00,Monday,R101,1950
10:15,Monday,R102,1300
10:30,Monday,R102,1550
10:45,Monday,R103,1900
11:00,Monday,R103,2100
11:15,Monday,R104,1200
11:30,Monday,R105,1400
11:45,Monday,R106,900
16:00,Monday,R101,1400
16:15,Monday,R103,1800
16:30,Monday,R103,2050
16:45,Monday,R104,1700
17:00,Monday,R104,1900
17:15,Monday,R105,2200
17:30,Monday,R105,2450
17:45,Monday,R107,1300
18:00,Monday,R107,1600
18:15,Monday,R108,1400
18:30,Monday,R102,1700
18:45,Monday,R106,1900
19:00,Monday,R106,2050
